,ProductID,CustomerName,Count
0,P018,John Wilson,3
1,P096,John Wilson,3
2,P083,John Wilson,2
3,P055,John Wilson,2
4,P047,John Wilson,2
5,P025,John Wilson,2
6,P079,John Wilson,2
7,P066,John Wilson,2
8,P041,John Wilson,2
9,P056,John Wilson,2
10,P006,John Wilson,2
11,P036,John Wilson,2
12,P084,John Wilson,2
13,P002,John Wilson,2
14,P076,John Wilson,2
15,P039,John Wilson,2
16,P029,John Wilson,2
17,P078,John Wilson,1
18,P087,John Wilson,1
19,P026,John Wilson,1
20,P045,John Wilson,1
21,P099,John Wilson,1
22,P048,John Wilson,1
23,P017,John Wilson,1
24,P022,John Wilson,1
25,P059,John Wilson,1
26,P053,John Wilson,1
27,P046,John Wilson,1
28,P003,John Wilson,1
29,P075,John Wilson,1
30,P004,John Wilson,1
31,P038,John Wilson,1
32,P069,John Wilson,1
33,P057,John Wilson,1
34,P020,John Wilson,1
35,P010,John Wilson,1
36,P013,John Wilson,1
37,P058,John Wilson,1
38,P081,John Wilson,1
39,P073,John Wilson,1
40,P092,John Wilson,1
41,P052,John Wilson,1
42,P008,John Wilson,1
43,P080,John Wilson,1
44,P033,John Wilson,1
45,P071,John Wilson,1
46,P049,John Wilson,1
