,ProductID,CustomerName,Count
0,P023,John Perez,4
1,P001,John Perez,3
2,P041,John Perez,2
3,P046,John Perez,2
4,P090,John Perez,2
5,P032,John Perez,2
6,P098,John Perez,2
7,P068,John Perez,2
8,P016,John Perez,2
9,P058,John Perez,2
10,P081,John Perez,2
11,P040,John Perez,2
12,P066,John Perez,2
13,P031,John Perez,2
14,P078,John Perez,2
15,P070,John Perez,1
16,P034,John Perez,1
17,P039,John Perez,1
18,P028,John Perez,1
19,P022,John Perez,1
20,P042,John Perez,1
21,P002,John Perez,1
22,P074,John Perez,1
23,P061,John Perez,1
24,P094,John Perez,1
25,P084,John Perez,1
26,P030,John Perez,1
27,P082,John Perez,1
28,P012,John Perez,1
29,P056,John Perez,1
30,P093,John Perez,1
31,P025,John Perez,1
32,P054,John Perez,1
33,P067,John Perez,1
34,P027,John Perez,1
35,P076,John Perez,1
36,P096,John Perez,1
37,P024,John Perez,1
38,P083,John Perez,1
39,P063,John Perez,1
40,P080,John Perez,1
41,P044,John Perez,1
42,P021,John Perez,1
43,P088,John Perez,1
44,P077,John Perez,1
45,P011,John Perez,1
46,P091,John Perez,1
47,P069,John Perez,1
